Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm)
291.0541186789838,284.348927376208,278.2125985644791,272.6835391071489,267.79936519715653,263.5959265618496,260.10622829913166,257.3593062238084,255.3791299225526,254.1836196531948,253.78386473532947,254.1836196531948,255.3791299225526,257.3593062238084,260.10622829913166,263.5959265618496,267.79936519715653,272.6835391071489,278.2125985644791,284.348927376208,291.0541186789838
284.348927376208,277.481756157049,271.1900855488637,265.5148300942906,260.4962811634746,256.17303722288966,252.58080390243435,249.75112612358728,247.71013806463392,246.47743304408215,246.0651590534507,246.47743304408215,247.71013806463392,249.75112612358728,252.58080390243435,256.17303722288966,260.4962811634746,265.5148300942906,271.1900855488637,277.481756157049,284.348927376208
278.2125985644791,271.1900855488637,264.7489376749225,258.9325443044964,253.78386473532947,249.34426502328063,245.65219315121126,242.7417609312415,240.64133061467226,239.37222583248877,238.94769302087852,239.37222583248877,240.64133061467226,242.7417609312415,245.65219315121126,249.34426502328063,253.78386473532947,258.9325443044964,264.7489376749225,271.1900855488637,278.2125985644791
272.6835391071489,265.5148300942906,258.9325443044964,252.98245986629192,247.71013806463392,243.1596697645397,239.37222583248877,236.38448553151707,234.22705330512102,232.92300229904302,232.48669316758756,232.92300229904302,234.22705330512102,236.38448553151707,239.37222583248877,243.1596697645397,247.71013806463392,252.98245986629192,258.9325443044964,265.5148300942906,272.6835391071489
267.79936519715653,260.4962811634746,253.78386473532947,247.71013806463392,242.32313137626792,237.669544746482,233.7931778303208,230.73320632280044,228.52242778335784,227.18563444901176,226.73828525416698,227.18563444901176,228.52242778335784,230.73320632280044,233.7931778303208,237.669544746482,242.32313137626792,247.71013806463392,253.78386473532947,260.4962811634746,267.79936519715653
263.5959265618496,256.17303722288966,249.34426502328063,243.1596697645397,237.669544746482,232.92300229904302,228.9662911871527,225.84092853156622,223.58178033999104,222.215267252275,221.7578916295878,222.215267252275,223.58178033999104,225.84092853156622,228.9662911871527,232.92300229904302,237.669544746482,243.1596697645397,249.34426502328063,256.17303722288966,263.5959265618496
260.10622829913166,252.58080390243435,245.65219315121126,239.37222583248877,233.7931778303208,228.9662911871527,224.93999199786595,221.7578916295878,219.45671555001456,218.0643540333908,217.59825366946308,218.0643540333908,219.45671555001456,221.7578916295878,224.93999199786595,228.9662911871527,233.7931778303208,239.37222583248877,245.65219315121126,252.58080390243435,260.10622829913166
257.3593062238084,249.75112612358728,242.7417609312415,236.38448553151707,230.73320632280044,225.84092853156622,221.7578916295878,218.52946025650638,216.1939233651122,214.7804111179602,214.30716856885587,214.7804111179602,216.1939233651122,218.52946025650638,221.7578916295878,225.84092853156622,230.73320632280044,236.38448553151707,242.7417609312415,249.75112612358728,257.3593062238084
255.3791299225526,247.71013806463392,240.64133061467226,234.22705330512102,228.52242778335784,223.58178033999104,219.45671555001456,216.1939233651122,213.83287866930098,212.40365462957553,211.92510469503137,212.40365462957553,213.83287866930098,216.1939233651122,219.45671555001456,223.58178033999104,228.52242778335784,234.22705330512102,240.64133061467226,247.71013806463392,255.3791299225526
254.1836196531948,246.47743304408215,239.37222583248877,232.92300229904302,227.18563444901176,222.215267252275,218.0643540333908,214.7804111179602,212.40365462957553,210.9647482400792,210.48292686106396,210.9647482400792,212.40365462957553,214.7804111179602,218.0643540333908,222.215267252275,227.18563444901176,232.92300229904302,239.37222583248877,246.47743304408215,254.1836196531948
253.78386473532947,246.0651590534507,238.94769302087852,232.48669316758756,226.73828525416698,221.7578916295878,217.59825366946308,214.30716856885587,211.92510469503137,210.48292686106396,210.0,210.48292686106396,211.92510469503137,214.30716856885587,217.59825366946308,221.7578916295878,226.73828525416698,232.48669316758756,238.94769302087852,246.0651590534507,253.78386473532947
254.1836196531948,246.47743304408215,239.37222583248877,232.92300229904302,227.18563444901176,222.215267252275,218.0643540333908,214.7804111179602,212.40365462957553,210.9647482400792,210.48292686106396,210.9647482400792,212.40365462957553,214.7804111179602,218.0643540333908,222.215267252275,227.18563444901176,232.92300229904302,239.37222583248877,246.47743304408215,254.1836196531948
255.3791299225526,247.71013806463392,240.64133061467226,234.22705330512102,228.52242778335784,223.58178033999104,219.45671555001456,216.1939233651122,213.83287866930098,212.40365462957553,211.92510469503137,212.40365462957553,213.83287866930098,216.1939233651122,219.45671555001456,223.58178033999104,228.52242778335784,234.22705330512102,240.64133061467226,247.71013806463392,255.3791299225526
257.3593062238084,249.75112612358728,242.7417609312415,236.38448553151707,230.73320632280044,225.84092853156622,221.7578916295878,218.52946025650638,216.1939233651122,214.7804111179602,214.30716856885587,214.7804111179602,216.1939233651122,218.52946025650638,221.7578916295878,225.84092853156622,230.73320632280044,236.38448553151707,242.7417609312415,249.75112612358728,257.3593062238084
260.10622829913166,252.58080390243435,245.65219315121126,239.37222583248877,233.7931778303208,228.9662911871527,224.93999199786595,221.7578916295878,219.45671555001456,218.0643540333908,217.59825366946308,218.0643540333908,219.45671555001456,221.7578916295878,224.93999199786595,228.9662911871527,233.7931778303208,239.37222583248877,245.65219315121126,252.58080390243435,260.10622829913166
263.5959265618496,256.17303722288966,249.34426502328063,243.1596697645397,237.669544746482,232.92300229904302,228.9662911871527,225.84092853156622,223.58178033999104,222.215267252275,221.7578916295878,222.215267252275,223.58178033999104,225.84092853156622,228.9662911871527,232.92300229904302,237.669544746482,243.1596697645397,249.34426502328063,256.17303722288966,263.5959265618496
