#Parameters = {Cylinder_radius=210; Pe=30; Wp=7.5; Ws=300; a=22.86; a1=47; b=10.16; b1=37; copper=0.0035; distance=230.7655; focal=210; h=0.762; lam=20; radius=0; t=0.2}
#"Theta / deg"	"Directivity,Phi=90"
#----------------------------------
-180.00000000000	-6.1295858991208
-179.00000000000	-5.2606772793797
-178.00000000000	-4.3550453277478
-177.00000000000	-3.5585864521817
-176.00000000000	-2.9254742437413
-175.00000000000	-2.4898700456261
-174.00000000000	-2.2983975694283
-173.00000000000	-2.3923858986355
-172.00000000000	-2.7537956392464
-171.00000000000	-3.2220879408824
-170.00000000000	-3.4504507641338
-169.00000000000	-3.1426811656488
-168.00000000000	-2.4427257804271
-167.00000000000	-1.7859124104006
-166.00000000000	-1.5016178426509
-165.00000000000	-1.7166565170612
-164.00000000000	-2.3721676833188
-163.00000000000	-3.1691860520514
-162.00000000000	-3.5890122712215
-161.00000000000	-3.3784797361612
-160.00000000000	-2.9240081887516
-159.00000000000	-2.7476785845979
-158.00000000000	-3.1226818929029
-157.00000000000	-4.0774018974412
-156.00000000000	-5.3502245541883
-155.00000000000	-6.2677019793294
-154.00000000000	-6.2941103275220
-153.00000000000	-5.9224331479123
-152.00000000000	-5.9921504673202
-151.00000000000	-7.0471301519722
-150.00000000000	-9.5140113637603
-149.00000000000	-13.213956905169
-148.00000000000	-12.612844961675
-147.00000000000	-8.4563340093131
-146.00000000000	-5.6888475188843
-145.00000000000	-4.3253153329604
-144.00000000000	-4.0412705388295
-143.00000000000	-4.5723459916375
-142.00000000000	-5.5047667640709
-141.00000000000	-6.1352399318395
-140.00000000000	-6.0404576607686
-139.00000000000	-5.7144928037183
-138.00000000000	-5.8177968044285
-137.00000000000	-6.5507522437939
-136.00000000000	-7.4522546163747
-135.00000000000	-7.3913341830725
-134.00000000000	-6.2077426398200
-133.00000000000	-5.0773180519599
-132.00000000000	-4.7501619293512
-131.00000000000	-5.4452835150874
-130.00000000000	-7.0307656716168
-129.00000000000	-8.3649067885195
-128.00000000000	-7.5903844483545
-127.00000000000	-5.8843679752388
-126.00000000000	-4.9666519379942
-125.00000000000	-5.3014667360014
-124.00000000000	-6.9245102175405
-123.00000000000	-8.9449079370054
