Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm),Distance from Feed(mm)
291.4040605938981,284.67310289207876,278.51281434630977,272.96183481451413,268.0580199151227,263.8374576924828,260.3333812398154,257.57503364880625,255.58656028030575,254.3860155314344,253.98457288840618,254.3860155314344,255.58656028030575,257.57503364880625,260.3333812398154,263.8374576924828,268.0580199151227,272.96183481451413,278.5128143463098,284.67310289207876,291.4040605938981
284.67310289207876,277.779092967408,271.46240390649655,265.7642042203915,260.7250487015165,256.3838003096617,252.7764197217512,249.93468534554285,247.884930513152,246.64690121213974,246.23284152382672,246.64690121213974,247.884930513152,249.93468534554285,252.7764197217512,256.3838003096617,260.7250487015165,265.7642042203915,271.46240390649655,277.779092967408,284.67310289207876
278.51281434630977,271.46240390649655,264.9951867102341,259.154827255438,253.98457288840618,249.5260814145937,245.81808438812,242.89495503956738,240.78527990807112,239.51055534662552,239.08413684265193,239.51055534662552,240.78527990807112,242.89495503956738,245.81808438812,249.5260814145937,253.98457288840618,259.154827255438,264.9951867102341,271.46240390649655,278.51281434630977
272.96183481451413,265.7642042203915,259.154827255438,253.17977802344325,247.884930513152,243.31469502750244,239.51055534662555,236.5094811923563,234.34232765467752,233.03236177117773,232.59406699226014,233.03236177117773,234.34232765467752,236.5094811923563,239.51055534662555,243.31469502750244,247.884930513152,253.17977802344325,259.154827255438,265.7642042203915,272.96183481451413
268.0580199151227,260.7250487015165,253.98457288840618,247.884930513152,242.4744884539823,237.80029350662446,233.90648750720698,230.83256587706109,228.61160361215798,227.2686084970013,226.81917638398699,227.2686084970013,228.61160361215798,230.83256587706109,233.90648750720698,237.80029350662446,242.4744884539823,247.884930513152,253.98457288840618,260.7250487015165,268.0580199151227
263.8374576924828,256.3838003096617,249.5260814145937,243.31469502750244,237.80029350662446,233.03236177117773,229.05751884357673,225.91762992339505,223.64786461519986,222.27488038233108,221.81533043576255,222.27488038233108,223.64786461519986,225.91762992339503,229.05751884357673,233.03236177117773,237.80029350662446,243.31469502750244,249.5260814145937,256.3838003096617,263.8374576924828
260.3333812398154,252.7764197217512,245.81808438812,239.51055534662555,233.90648750720698,229.05751884357673,225.01247130969864,221.81533043576255,219.50314952879657,218.10407551236185,217.6357188571053,218.10407551236185,219.50314952879657,221.81533043576255,225.01247130969864,229.05751884357673,233.90648750720698,239.51055534662552,245.81808438812,252.7764197217512,260.3333812398154
257.57503364880625,249.93468534554285,242.89495503956738,236.5094811923563,230.83256587706109,225.91762992339505,221.81533043576255,218.57142857142858,216.22456202866914,214.8041347984964,214.32856714371408,214.8041347984964,216.22456202866914,218.57142857142856,221.81533043576255,225.91762992339505,230.83256587706109,236.5094811923563,242.8949550395674,249.93468534554285,257.57503364880625
255.58656028030575,247.884930513152,240.78527990807112,234.34232765467752,228.61160361215798,223.64786461519986,219.50314952879657,216.22456202866914,213.85194191595383,212.41564952532406,211.9347223335814,212.41564952532406,213.85194191595383,216.22456202866914,219.50314952879657,223.64786461519986,228.61160361215798,234.34232765467752,240.78527990807115,247.884930513152,255.58656028030575
254.3860155314344,246.64690121213974,239.51055534662552,233.03236177117773,227.2686084970013,222.27488038233108,218.10407551236185,214.8041347984964,212.41564952532406,210.96957900442928,210.48534778614177,210.96957900442928,212.41564952532406,214.8041347984964,218.10407551236185,222.27488038233108,227.2686084970013,233.03236177117773,239.51055534662555,246.64690121213974,254.3860155314344
253.98457288840618,246.23284152382672,239.08413684265193,232.59406699226014,226.81917638398699,221.81533043576255,217.6357188571053,214.32856714371408,211.9347223335814,210.48534778614177,210.0,210.48534778614177,211.9347223335814,214.32856714371408,217.6357188571053,221.81533043576255,226.81917638398699,232.59406699226014,239.08413684265193,246.23284152382672,253.98457288840618
254.3860155314344,246.64690121213974,239.51055534662552,233.03236177117773,227.2686084970013,222.27488038233108,218.10407551236185,214.8041347984964,212.41564952532406,210.96957900442928,210.48534778614177,210.96957900442928,212.41564952532406,214.8041347984964,218.10407551236185,222.27488038233108,227.2686084970013,233.03236177117773,239.51055534662555,246.64690121213974,254.3860155314344
255.58656028030575,247.884930513152,240.78527990807112,234.34232765467752,228.61160361215798,223.64786461519986,219.50314952879657,216.22456202866914,213.85194191595383,212.41564952532406,211.9347223335814,212.41564952532406,213.85194191595383,216.22456202866914,219.50314952879657,223.64786461519986,228.61160361215798,234.34232765467752,240.78527990807115,247.884930513152,255.58656028030575
257.57503364880625,249.93468534554285,242.89495503956738,236.5094811923563,230.83256587706109,225.91762992339503,221.81533043576255,218.57142857142856,216.22456202866914,214.8041347984964,214.32856714371408,214.8041347984964,216.22456202866914,218.57142857142856,221.81533043576255,225.91762992339503,230.83256587706109,236.5094811923563,242.89495503956738,249.93468534554285,257.57503364880625
260.3333812398154,252.7764197217512,245.81808438812,239.51055534662555,233.90648750720698,229.05751884357673,225.01247130969864,221.81533043576255,219.50314952879657,218.10407551236185,217.6357188571053,218.10407551236185,219.50314952879657,221.81533043576255,225.01247130969864,229.05751884357673,233.90648750720698,239.51055534662552,245.81808438812,252.7764197217512,260.3333812398154
263.8374576924828,256.3838003096617,249.5260814145937,243.31469502750244,237.80029350662446,233.03236177117773,229.05751884357673,225.91762992339505,223.64786461519986,222.27488038233108,221.81533043576255,222.27488038233108,223.64786461519986,225.91762992339503,229.05751884357673,233.03236177117773,237.80029350662446,243.31469502750244,249.5260814145937,256.3838003096617,263.8374576924828
268.0580199151227,260.7250487015165,253.98457288840618,247.884930513152,242.4744884539823,237.80029350662446,233.90648750720698,230.83256587706109,228.61160361215798,227.2686084970013,226.81917638398699,227.2686084970013,228.61160361215798,230.83256587706109,233.90648750720698,237.80029350662446,242.4744884539823,247.884930513152,253.98457288840618,260.7250487015165,268.0580199151227
272.96183481451413,265.7642042203915,259.154827255438,253.17977802344325,247.884930513152,243.31469502750244,239.51055534662552,236.5094811923563,234.34232765467752,233.03236177117773,232.59406699226014,233.03236177117773,234.34232765467752,236.5094811923563,239.51055534662552,243.31469502750244,247.884930513152,253.17977802344322,259.154827255438,265.7642042203915,272.96183481451413
